gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene:Smp_000050,2824.4910254903502,-1.7876523840206064,0.28182636872216366,-6.343098384037122,2.251895167732555e-10,7.984447899844605e-10
gene:Smp_000080,12.055361594089181,-1.9968097439350578,0.9075453022710782,-2.2002314803879877,0.027790475863253047,0.042684454967968015
gene:Smp_000100,26042.364285943502,2.7415603308007506,0.08665594257021793,31.637303218752074,1.1337526170449171e-219,1.082960499801305e-216
gene:Smp_000150,5933.919227379878,1.8619537348256514,0.23895913704923574,7.791933624375325,6.599140009726707e-15,3.227597817353277e-14
gene:Smp_000160,821.8988937165807,-3.572020759012535,0.22926570544929398,-15.580266363922222,9.914077080399958e-55,3.322781202525628e-53
gene:Smp_000190,751.1342646438763,-1.6790830438231377,0.2411277621137972,-6.963457998796156,3.3202018196457837e-12,1.3449774292305568e-11
gene:Smp_000320,1239.4689882227508,1.2853553775946767,0.22623355909731135,5.681541601181274,1.334860358027878e-08,4.085416898392275e-08
gene:Smp_000340,290.07683342138193,1.037118989067651,0.22888572039576272,4.5311651040282666,5.865927045547523e-06,1.4071153977666985e-05
gene:Smp_000620,104.52361729475237,-2.032669529858708,0.3422790572813182,-5.9386324889520266,2.8740933530030236e-09,9.277911357852274e-09
gene:Smp_000640,2233.986994918462,1.7439965243263866,0.1987882350248372,8.773137525510434,1.7375561043391227e-18,1.063918968503032e-17
gene:Smp_000660,13118.267494285454,1.8407159340809063,0.18757108281268078,9.813431294839571,9.855894997424897e-23,7.748436956000216e-22
gene:Smp_000740,10089.221663892984,1.2443150708874835,0.14706946471033022,8.460730263337133,2.6570834411468242e-17,1.5152514047662368e-16
gene:Smp_000790,3550.623504183113,1.4298890233998267,0.27572651932159703,5.185895890311725,2.149788855791099e-07,5.921217748130501e-07
gene:Smp_000830,96.70974748366801,-3.265638032307825,0.4427664636218404,-7.375531573902022,1.6369059906137346e-13,7.289382760998784e-13
gene:Smp_000870,1379.9607123857193,1.3599628621445095,0.24217808451955372,5.615548842259939,1.95939297611727e-08,5.924698229779095e-08
gene:Smp_000880,7225.93342763617,2.853582763710223,0.4058539291920421,7.031058611138796,2.049723713253007e-12,8.450134186013258e-12
gene:Smp_000900,211.6903500787759,-1.552214439958879,0.3041865809503799,-5.1028366705370285,3.345997639951414e-07,9.051534822094564e-07
gene:Smp_000910,134.27349584520263,2.3339335438293425,0.28891653796991607,8.078227574748134,6.571488525112515e-16,3.4207552257152445e-15
gene:Smp_000950,179.0797784910411,-1.8585711454779543,0.31029244188013466,-5.989740305037519,2.101763708752612e-09,6.8612600635697015e-09
gene:Smp_000980,4119.228714335923,1.4343881733015869,0.17794478620400683,8.0608609215283,7.575898379259547e-16,3.920096496136901e-15
gene:Smp_001000,560.7312920526582,-2.856504293492043,0.19973156297160213,-14.301717019548787,2.1347676107235985e-46,5.215166296069517e-45
gene:Smp_001020,842.9148504209629,1.3953146979073854,0.2059678707150467,6.774428910020539,1.2489862919002273e-11,4.867530420330873e-11
gene:Smp_001040,12427.373457278458,-1.4618512016522365,0.10102284676708641,-14.470500965218422,1.8611169692468956e-47,4.7394426869701295e-46
gene:Smp_001070,1863.4842761708348,-4.5046348810986,0.27262663949404137,-16.523091395098444,2.5023641085724503e-61,1.1221869467175608e-59
gene:Smp_001080,846.7181523837327,3.7290542565392424,0.20390632022619265,18.288075879171444,1.0298659704351437e-74,7.286873888589996e-73
gene:Smp_001095,1099.4963860043767,-1.1182417534011952,0.1933069294147768,-5.784799110857504,7.2599036292763795e-09,2.2699377894221925e-08
gene:Smp_001100,516.7061474400198,2.0802129157161877,0.19799691745202314,10.50628940331986,8.081080649688512e-26,7.516113180703473e-25
gene:Smp_001160,125.06449726481725,1.221498868772935,0.26252605668916745,4.652867163655292,3.2735114216266734e-06,8.052686350599532e-06
gene:Smp_001210,460.7626022070566,-1.827418845127638,0.41803548234735066,-4.371444344547801,1.2342731435173466e-05,2.8706542651272695e-05
gene:Smp_001610,280.9649209345956,1.5389106988528456,0.2532116048113345,6.077567811315255,1.2201908679509029e-09,4.054004581101573e-09
gene:Smp_001640,842.610588396215,2.1862618261816062,0.1664058324530228,13.138132203381748,1.990802323654503e-39,3.5544194010369747e-38
gene:Smp_001780,255.29991460136733,-3.0717588898985246,0.3104065908756053,-9.89592031932571,4.3360365572150576e-23,3.5010837865188696e-22
gene:Smp_001830,5679.187701908604,1.7793741009371218,0.19908202049796478,8.937894524509872,3.96655416870441e-19,2.532655442477575e-18
gene:Smp_001900,558.27751038557,-4.292472813995148,0.38152522260336674,-11.250823168924795,2.2944065995057686e-29,2.5191002113194373e-28
gene:Smp_001950,2650.141644197617,-1.8141990698193382,0.21766027816808878,-8.335002992224046,7.749623305540847e-17,4.268996644436342e-16
gene:Smp_002180,4854.325721801249,1.2926190020438828,0.1385195726333674,9.331670445339718,1.0421527590025079e-20,7.352025963066437e-20
gene:Smp_002280,4974.834947805308,-1.3535561359093018,0.08658326897555284,-15.632998752813133,4.3389353244967024e-55,1.496227805761462e-53
gene:Smp_002510,11921.139198966244,3.918994534393896,0.3582927877023667,10.937966570651147,7.5882756602440495e-28,7.82756037868803e-27
gene:Smp_002550,2552.8788456276598,1.8830984757361398,0.1728023295836505,10.897413711222947,1.1857997022455654e-27,1.2153174630739958e-26
gene:Smp_002640,3752.9386668515567,4.405426439773755,0.3432116856377045,12.835887075314037,1.0321393364294504e-37,1.699826714064502e-36
gene:Smp_002740,2538.383113799262,1.9878717479677437,0.23397038849991683,8.49625356744001,1.9580800085694693e-17,1.1267217013166007e-16
gene:Smp_002820,10679.45859215992,1.4203866534379228,0.0963074726543819,14.748457355279756,3.1477781946930638e-49,8.590736375916613e-48
gene:Smp_002880,6027.099110250712,1.002193896749143,0.2782117158896798,3.6022706432195912,0.00031544968735131934,0.0006303714254351051
gene:Smp_002950,104.581492259642,2.0275609525450906,0.3731750167727166,5.433270882064388,5.533031478387632e-08,1.611818136064613e-07
gene:Smp_003190,62.71256325490393,3.1238653775943916,0.5412955608191988,5.771089962139578,7.8760409949837e-09,2.4545495459733863e-08
gene:Smp_003250,711.9478200654999,1.9531955506970555,0.18038852071485983,10.827715327764519,2.544241515865572e-27,2.577157471850259e-26
gene:Smp_003270,5391.291083803683,1.2994389932459733,0.22760877083296788,5.709090157160835,1.1358171602109797e-08,3.496398812225355e-08
gene:Smp_003280,144.17970367183062,-3.790477430737736,0.31369202825434067,-12.083435628987123,1.292059520295459e-33,1.7656298337428076e-32
gene:Smp_003330,96.87214563348047,1.7734986141518059,0.40208096583362923,4.410799726554662,1.0298954045167325e-05,2.4105760607556553e-05
gene:Smp_003440,133.13790799493773,-2.4878725678511064,0.39395262763851463,-6.315156679533417,2.6988790284195584e-10,9.505786312486586e-10
gene:Smp_003610,93.67831268276333,-2.7930542493613517,0.3078964220700752,-9.071408594432029,1.174881888231055e-19,7.755681960181782e-19
gene:Smp_003620,1833.3720712871454,-1.544429390746061,0.1236315264644096,-12.492197054532552,8.234772279271077e-36,1.250533303840975e-34
gene:Smp_003660,15244.284569029493,1.5187607354529762,0.1845635550122409,8.22893087073581,1.8889174428961222e-16,1.024003371994538e-15
gene:Smp_003710,20764.990522066153,2.2935988939427006,0.15079048929385022,15.210501038119794,3.0122881690103575e-52,9.076774949648876e-51
gene:Smp_003770,109128.18243550489,3.857628479381621,0.16819741553323667,22.935123391472885,2.0741995459537182e-116,3.810145012105753e-114
gene:Smp_003900,409.6928052362275,-2.9915386365366543,0.28739508432251043,-10.409150329027879,2.252228022491313e-25,2.0333915000791135e-24
gene:Smp_003930,192.9043405239413,1.1699127933356912,0.28099212857537864,4.163507352562197,3.133959288696887e-05,7.012316496985866e-05
gene:Smp_003980,5901.332292915729,2.4245214912111983,0.3053284452230938,7.940699692882126,2.0104389423627617e-15,1.020388564157763e-14
gene:Smp_003990,33114.97089809832,3.1589499896024855,0.23742577067064746,13.305000466796509,2.1649177593528743e-40,4.015396978124011e-39
gene:Smp_004060,286.71029662926423,1.3580281659725102,0.2908947433212659,4.66845206780755,3.0347755879228574e-06,7.494357915160066e-06
gene:Smp_004070,683.2828064758644,2.841172183624217,0.36400587206571017,7.805292171526646,5.936385516310399e-15,2.915390974385447e-14
gene:Smp_004160,47.55665962799602,2.077768606612068,0.4250880915554207,4.887854183375023,1.0194098795700812e-06,2.637433144543179e-06
gene:Smp_004190,3637.647872137025,1.2627816064795994,0.15506540369466001,8.14354186292997,3.838797016167089e-16,2.037121616579335e-15
gene:Smp_004200,1677.4605148570645,-1.868623582214244,0.1859297716026933,-10.050158003782414,9.172024119030891e-24,7.705468283639672e-23
gene:Smp_004360,2200.3898321509823,1.3290850093170419,0.1344399343257934,9.886087909684779,4.7835733036018973e-23,3.849426469756135e-22
gene:Smp_004420,56.1311250502807,-1.6256677983011942,0.4859481967287213,-3.345352054488057,0.0008217818773585763,0.001559018965745605
gene:Smp_004470,4317.117822358046,2.0869748756656192,0.26858055914252643,7.770386964449402,7.824671222519221e-15,3.8016917353765813e-14
gene:Smp_004550,3613.851069585645,2.439168163037555,0.19977549446297468,12.209546369009825,2.7642607144051756e-34,3.894427484365522e-33
gene:Smp_004680,28223.325540211055,1.8490149107916087,0.15650355515240086,11.814523376105196,3.2840602928631616e-32,4.154879989063433e-31
gene:Smp_004690,487.5597723731344,-1.0405088382504484,0.2992111282359352,-3.4775071515053475,0.0005060995495358106,0.0009853776798137103
gene:Smp_004780,8069.245013552236,-1.8525786778797246,0.2306459958314332,-8.03213024011774,9.579459788355254e-16,4.930118529006971e-15
gene:Smp_004820,808.2489732609005,1.8786323832656888,0.18735180738906537,10.027297891844803,1.1563788456430009e-23,9.613342675006045e-23
gene:Smp_004940,2609.8876866850155,3.136990510635913,0.2698366795851705,11.625515535762299,3.057420448673058e-31,3.678146111552273e-30
gene:Smp_004990,8837.680593371144,-1.4012980905571624,0.13693278719726615,-10.233473803015814,1.4039121442423746e-24,1.2191062547093784e-23
gene:Smp_005080,1670.366268301554,1.2784071793470257,0.11812786543990163,10.822232117598233,2.701173795781712e-27,2.724563051457963e-26
gene:Smp_005260,5441.686345467435,1.8108309201519597,0.2967839811415437,6.10151165567231,1.0506997658950173e-09,3.515335959309704e-09
gene:Smp_005290,10895.55590810944,4.075916232348077,0.3484054928546821,11.698771448612375,1.2931204078116437e-31,1.583575145566259e-30
gene:Smp_005320,749.3535860559801,2.551965801547622,0.26054297884919964,9.794797821148277,1.1853431554116162e-22,9.29589312027238e-22
gene:Smp_005470,63.543796411477175,-8.081323632700052,1.2933161283941677,-6.248529230617531,4.1433569048228706e-10,1.4360430027165478e-09
gene:Smp_005500,998.8946963269788,-2.681774731602732,0.17539190872130764,-15.290184998579322,8.889726344123027e-53,2.721623911508435e-51
gene:Smp_005640,247.46762437012146,-1.4688138259108297,0.1985401172980097,-7.398070706819081,1.3817727597459576e-13,6.184954733408335e-13
gene:Smp_005880,44457.8215534876,6.0466064336571685,0.394973665684204,15.308885019417101,6.669751542649919e-53,2.0617950399803246e-51
gene:Smp_005900,2954.850234750085,-1.9584361373557324,0.2589184258955556,-7.563911801880569,3.911249878486956e-14,1.8136047980246316e-13
gene:Smp_005960,271.1776137853892,1.1282512752851812,0.27470011761321145,4.107210747080215,4.004658083318528e-05,8.854743984226523e-05
gene:Smp_006320,9198.294444460305,1.7612886606708968,0.17298003318407942,10.18203447097616,2.3852159088054696e-24,2.0488833058372163e-23
gene:Smp_006350,13331.316964393009,1.0567957644966754,0.13098676885565444,8.067958113091937,7.148356073460669e-16,3.704888617129479e-15
gene:Smp_006390,5346.258460173683,4.237315291411479,0.21713408115144123,19.514740702801706,8.228553428582473e-85,7.415013429228281e-83
gene:Smp_006560,37730.50562888416,6.806104826807552,0.2853025280218569,23.85574664899618,8.827144872778176e-126,1.9162929051085713e-123
gene:Smp_006760,50.74432373589555,1.0706121258945454,0.3593276052346561,2.979487549239058,0.0028873096364096106,0.0051187048342584635
gene:Smp_006840,1957.412240340588,1.296575046087208,0.12377434972835344,10.475312929801618,1.121660185788578e-25,1.0321867143210497e-24
gene:Smp_006850,2530.442271916715,2.3692663005017165,0.1911640080025725,12.393893208547047,2.820125105849384e-35,4.169943500166149e-34
gene:Smp_006860,14519.442571853393,2.4087942668860642,0.23441669914352609,10.275693991455933,9.068936236197895e-25,7.948170940423152e-24
gene:Smp_006930,1606.9623723633224,-1.6176970510805364,0.17057357917723195,-9.483866486730001,2.4503159636344528e-21,1.8045811938809787e-20
gene:Smp_007070,167.28711624724613,-1.3352614374407765,0.21184762783169164,-6.302933155813351,2.920648743683584e-10,1.0260814211816024e-09
gene:Smp_007170,6818.78328197072,1.2970006018405345,0.26219760160962613,4.946653187818166,7.55003161082285e-07,1.9736700040114903e-06
gene:Smp_007270,5788.9530053296385,4.065179952352581,0.18757289321009865,21.672534249387574,3.726704598928208e-104,5.159055409994528e-102
gene:Smp_007300,9901.726265243495,3.3827637501269368,0.386082802922674,8.761757127018289,1.922300982248124e-18,1.1740293467029463e-17
gene:Smp_007330,208.5039308431433,-1.9585845388314018,0.36261933214078607,-5.401213794279965,6.619148050147971e-08,1.914202306237161e-07
gene:Smp_007510,5314.0516133899955,1.148423976998158,0.13450096457206642,8.538406996946296,1.3608485899582429e-17,7.911640737237454e-17
gene:Smp_007550,2042.9939759644135,-3.869769998660745,0.1857703076267515,-20.830939282481364,2.269662476235782e-96,2.643879996707828e-94
gene:Smp_007570,58.782637316807055,-2.0352630802798988,0.4856969945498595,-4.190396694066774,2.784671772183479e-05,6.26010467589941e-05
gene:Smp_007650,7131.557660973012,1.7685859102054649,0.2746290444147848,6.439908473534535,1.1954556916170694e-10,4.328655332193422e-10
gene:Smp_007900,6371.346198717827,2.4176794268039523,0.14575441985437182,16.58734897521144,8.603499515725877e-62,3.9509917006833445e-60
gene:Smp_008070,16579.03030654345,4.2843186971664755,0.22451620108955433,19.08244784285104,3.533174633622848e-81,2.884520008578243e-79
gene:Smp_008310,2701.560099969601,1.4617058138172145,0.2899443232370945,5.041332754847358,4.6230078575929277e-07,1.2328908088697305e-06
gene:Smp_008430,1731.2774306374538,1.552397137701807,0.12100902919648415,12.828771109147208,1.1314455788459962e-37,1.8537852777250352e-36
gene:Smp_008450,43.187697948757865,1.0621876290171373,0.3920061768660117,2.709619622601494,0.006736040995753952,0.011367961765272395
gene:Smp_008470,3431.989657787217,1.4999893025871267,0.1230071696296293,12.194324177229237,3.332573161348428e-34,4.688179504742295e-33
gene:Smp_008490,2476.9455610673335,2.4563147637844405,0.2234176439888968,10.994273862750571,4.071775819855639e-28,4.255317574536222e-27
gene:Smp_008580,1159.1577520855576,-1.738369371519915,0.1503375004296506,-11.563112108102217,6.33697483207822e-31,7.472936246421131e-30
gene:Smp_008620,789.0339708183451,-1.0102311736213616,0.19307762991076416,-5.232253856069532,1.6745555950713242e-07,4.6498125128259556e-07
gene:Smp_008710,918.3977067053988,-2.299328800259163,0.132191199339134,-17.393962773272666,9.167117988925953e-68,5.438777082622403e-66
gene:Smp_008770,1050.7845423311135,1.6513572607109985,0.16673348384955564,9.904172950653544,3.992596883661055e-23,3.229236700485216e-22
gene:Smp_008850,179.89739517462354,-2.6073667898339377,0.2964381002254892,-8.79565341921505,1.4221792802182248e-18,8.775617884137264e-18
gene:Smp_009070,3411.676228013485,1.458447431089147,0.10538542492027017,13.839175884070709,1.4789240349750934e-43,3.1532773174290387e-42
gene:Smp_009310,55504.6364121217,2.0724635472364126,0.1409016681930386,14.708580627995754,5.678601856967992e-49,1.5279438010636129e-47
gene:Smp_009390,587.4927985253521,2.8645875565667236,0.2886717871696602,9.92333745064989,3.2954873316445453e-23,2.6721982166272234e-22
gene:Smp_009400,5515.860322311926,1.156909755639976,0.17500765712889554,6.610623641386708,3.827043223838045e-11,1.439209325752008e-10
gene:Smp_009630,206.04988334353038,-2.4992408918782827,0.351713431753933,-7.105901186130447,1.1953992210332603e-12,5.0301556648941426e-12
gene:Smp_009650,51402.12194253822,5.2441739483776235,0.3027059276126117,17.324318653874734,3.08325448803732e-67,1.763547716750448e-65
gene:Smp_009830,1188.2448986232644,-1.0497529338437825,0.23042729137991977,-4.555679700773767,5.221645275533146e-06,1.2595241331286014e-05
gene:Smp_010100,1530.883547563082,1.1548589735378356,0.17921029841539857,6.444155183877562,1.1624609694130903e-10,4.212377534079605e-10
gene:Smp_010280,1063.4654050761444,-1.2555101942855038,0.26157075559467596,-4.799887477600951,1.5875480144915598e-06,4.026622048439559e-06
gene:Smp_010370,451.8893915344876,3.4273642340871815,0.370363920382943,9.254044590907801,2.1615482331983094e-20,1.4896903840916488e-19
gene:Smp_010380,186.09980665964025,-1.1100905921747797,0.21999879740682782,-5.045893910601564,4.5140584304589277e-07,1.2057686277333243e-06
gene:Smp_010450,10.800733895189545,2.513974000147175,1.1374490140455307,2.2101860998637637,0.02709224926851176,0.04167904091042428
gene:Smp_010550,34838.09672746152,-2.7040345574773537,0.3393753449066577,-7.967681206249898,1.6167928812376566e-15,8.236589654177118e-15
gene:Smp_010620,758.2522934723117,1.0268617695480846,0.23921099240015314,4.292703103837076,1.7651096212581987e-05,4.0490699092839364e-05
gene:Smp_010690,2387.6537982889577,-1.212862102571597,0.2561255941224321,-4.7354193817578025,2.186025887591415e-06,5.4748084106641826e-06
gene:Smp_010710,4169.352438666285,2.024402383021224,0.2687142403285492,7.533662453266508,4.933656432014118e-14,2.2733374934201089e-13
gene:Smp_010720,44.84236455211055,-4.091287420962102,0.6023397425081695,-6.79232521487923,1.1034046019405217e-11,4.314253277828843e-11
gene:Smp_011000,418.54185548241594,-1.6972620895178474,0.19649970564553126,-8.637479043248867,5.74669954989645e-18,3.4222240711104046e-17
gene:Smp_011030,446.19594968938486,4.29037496512995,0.2805498405011363,15.29273713884921,8.548063886435632e-53,2.633906653007521e-51
gene:Smp_011220,1099.1126854854124,-1.2294381506895447,0.3564174389006411,-3.449433210904915,0.0005617646780913982,0.0010857904097792464
gene:Smp_011570,22097.79786339792,2.0020229550877615,0.17079886902378494,11.72152348859503,9.8877635751352e-32,1.2186828086411797e-30
gene:Smp_011680,6070.857625482427,-4.466377747748721,0.19636985414464966,-22.744722030799622,1.6184391913702406e-114,2.8628391029571367e-112
gene:Smp_011700,8688.239853183017,-1.7384214864049239,0.2835591251069506,-6.130719601244501,8.748247153362477e-10,2.94029756540881e-09
gene:Smp_011720,828.4317569073903,1.6731614109222983,0.13281636719011705,12.597554400259181,2.1779322344249026e-36,3.399282467847495e-35
gene:Smp_011830,2314.711103041105,-1.5708960839250308,0.25263971141695435,-6.217930170654912,5.03755636425172e-10,1.7290240169361276e-09
gene:Smp_011990,114.47158402274215,-1.6391934263323484,0.3656271897737292,-4.483237221353187,7.3519122079424315e-06,1.7464676799369834e-05
